ticker,score,rebalance_date
VOLTAS,0.0768138702156429,2026-05-31
ZYDUSLIFE,0.06655501645901607,2026-05-31
PFC,0.05270866162099597,2026-05-31
JSWENERGY,0.05043772128701218,2026-05-31
ICICIPRULI,0.04941413628483993,2026-05-31
RAMCOCEM,0.04795562743057746,2026-05-31
GMRAIRPORT,0.04544395651941979,2026-05-31
ICICIGI,0.04114946821173082,2026-05-31
PETRONET,0.03970608216462401,2026-05-31
CHOLAFIN,0.03588738936781799,2026-05-31
HINDPETRO,0.03578015593620876,2026-05-31
ESCORTS,0.025314778275097094,2026-05-31
DALBHARAT,0.021862109105799776,2026-05-31
PERSISTENT,0.01581864010014189,2026-05-31
APOLLOTYRE,0.014825846782304586,2026-05-31
CDSL,0.012067560022509749,2026-05-31
DABUR,0.003194769122506491,2026-05-31
UPL,0.0007759102762654457,2026-05-31
LICI,-0.0023626665586542472,2026-05-31
MPHASIS,-0.005460070906522674,2026-05-31
ADANIGREEN,-0.0164992148988784,2026-05-31
TORNTPOWER,-0.018582942041729722,2026-05-31
HAL,-0.020221287952076672,2026-05-31
CASTROLIND,-0.021648249675885745,2026-05-31
COROMANDEL,-0.022060724702318235,2026-05-31
ATGL,-0.03220716684173153,2026-05-31
BALKRISIND,-0.034513423822764566,2026-05-31
TIINDIA,-0.04186680534468645,2026-05-31
OBEROIRLTY,-0.04504708815137315,2026-05-31
GUJGASLTD,-0.05058744846569829,2026-05-31
DMART,-0.05415840337931066,2026-05-31
PIDILITIND,-0.07934560310047223,2026-05-31
NHPC,-0.08118383355777581,2026-05-31
GNFC,-0.08199671758583138,2026-05-31
IOB,-0.08986885448362647,2026-05-31
SRF,-0.09150019485400851,2026-05-31
TATACOMM,-0.09359892801061354,2026-05-31
OFSS,-0.09360305867517671,2026-05-31
HAVELLS,-0.09834217700493053,2026-05-31
GLAXO,-0.09987257626818435,2026-05-31
HONAUT,-0.10215045982576154,2026-05-31
LICHSGFIN,-0.1069270687895919,2026-05-31
IGL,-0.10835485794365696,2026-05-31
GAIL,-0.11186659956466849,2026-05-31
PIIND,-0.11257564233145945,2026-05-31
BAJAJHLDNG,-0.1146350552217068,2026-05-31
TATAELXSI,-0.1162907625519205,2026-05-31
SUNTV,-0.118977033188721,2026-05-31
DLF,-0.12039273833699493,2026-05-31
RECLTD,-0.1257833618581251,2026-05-31
GODREJCP,-0.12693114824806784,2026-05-31
CONCOR,-0.14302724521850285,2026-05-31
TATACHEM,-0.16147979947026314,2026-05-31
SBICARD,-0.1643597061148696,2026-05-31
EXIDEIND,-0.1663505273981838,2026-05-31
KEC,-0.16865208785290053,2026-05-31
UBL,-0.17297203118455784,2026-05-31
COLPAL,-0.1803540982238856,2026-05-31
MGL,-0.1918210619968732,2026-05-31
INDIGO,-0.1923236549941103,2026-05-31
GODREJPROP,-0.20113444308477613,2026-05-31
IRFC,-0.20373229995975595,2026-05-31
CARBORUNIV,-0.20384234216563113,2026-05-31
DIXON,-0.20391316232863088,2026-05-31
DEEPAKNTR,-0.204466663551212,2026-05-31
AMBUJACEM,-0.20471854315027305,2026-05-31
INDHOTEL,-0.20935454005934717,2026-05-31
SJVN,-0.21401602560555055,2026-05-31
AEGISLOG,-0.21848907449227106,2026-05-31
WHIRLPOOL,-0.22183954449115306,2026-05-31
GODREJIND,-0.228193746069003,2026-05-31
BERGEPAINT,-0.23342938324027607,2026-05-31
SHREECEM,-0.24178043805550187,2026-05-31
KANSAINER,-0.2425039684257112,2026-05-31
IRCTC,-0.2505223420553633,2026-05-31
CROMPTON,-0.253142511876977,2026-05-31
VBL,-0.2559674618372614,2026-05-31
ZEEL,-0.26157394794019395,2026-05-31
PAGEIND,-0.26406070861266995,2026-05-31
NAUKRI,-0.2784943046624143,2026-05-31
BAJAJELEC,-0.2968437079678602,2026-05-31
ACC,-0.29976134499351426,2026-05-31
IEX,-0.3067991910682194,2026-05-31
JUBLFOOD,-0.32700526994681456,2026-05-31
CHAMBLFERT,-0.32872117210254903,2026-05-31
SYNGENE,-0.3933731498545151,2026-05-31
KPITTECH,-0.40270842475120994,2026-05-31
BATAINDIA,-0.4184725157891799,2026-05-31
ABFRL,-0.7618320601327496,2026-05-31
NATIONALUM,1.7475003360592556,2026-05-31
HINDCOPPER,1.5950928669468922,2026-05-31
MCX,1.4121470805956813,2026-05-31
VEDL,0.9310147500447912,2026-05-31
RBLBANK,0.7426911210311329,2026-05-31
BHARATFORG,0.7362797817708968,2026-05-31
LAURUSLABS,0.7360362479023841,2026-05-31
GESHIP,0.7352367953453087,2026-05-31
ASHOKLEY,0.7326843969183654,2026-05-31
CUMMINSIND,0.7170080712624489,2026-05-31
ABCAPITAL,0.6886751047994868,2026-05-31
AUBANK,0.6228751495699141,2026-05-31
DELHIVERY,0.6201286054177593,2026-05-31
NAVINFLUOR,0.6077243485239221,2026-05-31
CANBK,0.5599407298066721,2026-05-31
GLENMARK,0.5102888920936486,2026-05-31
MOTHERSON,0.4876881409154801,2026-05-31
UNIONBANK,0.48767168819287066,2026-05-31
MUTHOOTFIN,0.47165600615867986,2026-05-31
POLYCAB,0.4507695811905472,2026-05-31
SAIL,0.4477593143623022,2026-05-31
CUB,0.44345597114987845,2026-05-31
MFSL,0.437806341403834,2026-05-31
JINDALSTEL,0.42865647932398887,2026-05-31
ADANIPOWER,0.42702763733523086,2026-05-31
BANKINDIA,0.42470789239269346,2026-05-31
JBCHEPHARM,0.40831639624719807,2026-05-31
FACT,0.3904119118570417,2026-05-31
FEDERALBNK,0.3889801666849293,2026-05-31
TORNTPHARM,0.36404210228631717,2026-05-31
TVSMOTOR,0.3638136347171954,2026-05-31
JSL,0.35695020058308224,2026-05-31
NMDC,0.3336096974279237,2026-05-31
APLAPOLLO,0.32005127910184883,2026-05-31
M&MFIN,0.30758485438850247,2026-05-31
SOLARINDS,0.30453357972794093,2026-05-31
INDIACEM,0.2963776202630475,2026-05-31
FORTIS,0.2957435346857282,2026-05-31
CGPOWER,0.2949887140823291,2026-05-31
IDEA,0.2928870793757623,2026-05-31
IOC,0.2742836055339579,2026-05-31
ASTRAL,0.2731662637600305,2026-05-31
ABB,0.2723747086292396,2026-05-31
GRANULES,0.2690868466376226,2026-05-31
HDFCAMC,0.2645784892239691,2026-05-31
CANFINHOME,0.26063793086777687,2026-05-31
BANKBARODA,0.23276696264223684,2026-05-31
BHEL,0.22804203440391047,2026-05-31
SUPREMEIND,0.22159030696409365,2026-05-31
MRF,0.20017785395766063,2026-05-31
PAYTM,0.19757097831007608,2026-05-31
BIOCON,0.1916314971882116,2026-05-31
AUROPHARMA,0.1862959715144068,2026-05-31
PNB,0.18601490349859895,2026-05-31
METROPOLIS,0.17814892734028476,2026-05-31
LUPIN,0.17484051644347764,2026-05-31
SIEMENS,0.16072306512952328,2026-05-31
PRESTIGE,0.15767145039458663,2026-05-31
BOSCHLTD,0.1538068439343263,2026-05-31
GLAND,0.1517033014854996,2026-05-31
IPCALAB,0.14998831145477443,2026-05-31
INDUSTOWER,0.1438014816895763,2026-05-31
MARICO,0.12062244146225631,2026-05-31
ALKEM,0.11792136333424819,2026-05-31
TATAPOWER,0.10446046220555294,2026-05-31
PVRINOX,0.10207085092344603,2026-05-31
CESC,0.09763017998695389,2026-05-31
YESBANK,0.09493297341431517,2026-05-31
FINPIPE,0.08440829236421243,2026-05-31
IDFCFIRSTB,0.08419333130230444,2026-05-31
INDIAMART,0.08065632555370206,2026-05-31
LALPATHLAB,0.07808063021172029,2026-05-31
VOLTAS,0.0768138702156429,2026-05-31
ZYDUSLIFE,0.06655501645901607,2026-05-31
PFC,0.05270866162099597,2026-05-31
JSWENERGY,0.05043772128701218,2026-05-31
ICICIPRULI,0.04941413628483993,2026-05-31
RAMCOCEM,0.04795562743057746,2026-05-31
GMRAIRPORT,0.04544395651941979,2026-05-31
ICICIGI,0.04114946821173082,2026-05-31
PETRONET,0.03970608216462401,2026-05-31
CHOLAFIN,0.03588738936781799,2026-05-31
HINDPETRO,0.03578015593620876,2026-05-31
ESCORTS,0.025314778275097094,2026-05-31
DALBHARAT,0.021862109105799776,2026-05-31
PERSISTENT,0.01581864010014189,2026-05-31
APOLLOTYRE,0.014825846782304586,2026-05-31
CDSL,0.012067560022509749,2026-05-31
DABUR,0.003194769122506491,2026-05-31
UPL,0.0007759102762654457,2026-05-31
LICI,-0.0023626665586542472,2026-05-31
MPHASIS,-0.005460070906522674,2026-05-31
ADANIGREEN,-0.0164992148988784,2026-05-31
TORNTPOWER,-0.018582942041729722,2026-05-31
HAL,-0.020221287952076672,2026-05-31
CASTROLIND,-0.021648249675885745,2026-05-31
COROMANDEL,-0.022060724702318235,2026-05-31
ATGL,-0.03220716684173153,2026-05-31
BALKRISIND,-0.034513423822764566,2026-05-31
TIINDIA,-0.04186680534468645,2026-05-31
OBEROIRLTY,-0.04504708815137315,2026-05-31
GUJGASLTD,-0.05058744846569829,2026-05-31
DMART,-0.05415840337931066,2026-05-31
PIDILITIND,-0.07934560310047223,2026-05-31
NHPC,-0.08118383355777581,2026-05-31
GNFC,-0.08199671758583138,2026-05-31
IOB,-0.08986885448362647,2026-05-31
SRF,-0.09150019485400851,2026-05-31
TATACOMM,-0.09359892801061354,2026-05-31
OFSS,-0.09360305867517671,2026-05-31
HAVELLS,-0.09834217700493053,2026-05-31
GLAXO,-0.09987257626818435,2026-05-31
HONAUT,-0.10215045982576154,2026-05-31
LICHSGFIN,-0.1069270687895919,2026-05-31
IGL,-0.10835485794365696,2026-05-31
GAIL,-0.11186659956466849,2026-05-31
PIIND,-0.11257564233145945,2026-05-31
BAJAJHLDNG,-0.1146350552217068,2026-05-31
TATAELXSI,-0.1162907625519205,2026-05-31
SUNTV,-0.118977033188721,2026-05-31
DLF,-0.12039273833699493,2026-05-31
RECLTD,-0.1257833618581251,2026-05-31
GODREJCP,-0.12693114824806784,2026-05-31
CONCOR,-0.14302724521850285,2026-05-31
TATACHEM,-0.16147979947026314,2026-05-31
SBICARD,-0.1643597061148696,2026-05-31
EXIDEIND,-0.1663505273981838,2026-05-31
KEC,-0.16865208785290053,2026-05-31
UBL,-0.17297203118455784,2026-05-31
COLPAL,-0.1803540982238856,2026-05-31
MGL,-0.1918210619968732,2026-05-31
INDIGO,-0.1923236549941103,2026-05-31
GODREJPROP,-0.20113444308477613,2026-05-31
IRFC,-0.20373229995975595,2026-05-31
CARBORUNIV,-0.20384234216563113,2026-05-31
DIXON,-0.20391316232863088,2026-05-31
DEEPAKNTR,-0.204466663551212,2026-05-31
AMBUJACEM,-0.20471854315027305,2026-05-31
INDHOTEL,-0.20935454005934717,2026-05-31
SJVN,-0.21401602560555055,2026-05-31
AEGISLOG,-0.21848907449227106,2026-05-31
WHIRLPOOL,-0.22183954449115306,2026-05-31
GODREJIND,-0.228193746069003,2026-05-31
BERGEPAINT,-0.23342938324027607,2026-05-31
SHREECEM,-0.24178043805550187,2026-05-31
KANSAINER,-0.2425039684257112,2026-05-31
IRCTC,-0.2505223420553633,2026-05-31
CROMPTON,-0.253142511876977,2026-05-31
VBL,-0.2559674618372614,2026-05-31
ZEEL,-0.26157394794019395,2026-05-31
PAGEIND,-0.26406070861266995,2026-05-31
NAUKRI,-0.2784943046624143,2026-05-31
BAJAJELEC,-0.2968437079678602,2026-05-31
ACC,-0.29976134499351426,2026-05-31
IEX,-0.3067991910682194,2026-05-31
JUBLFOOD,-0.32700526994681456,2026-05-31
CHAMBLFERT,-0.32872117210254903,2026-05-31
SYNGENE,-0.3933731498545151,2026-05-31
KPITTECH,-0.40270842475120994,2026-05-31
BATAINDIA,-0.4184725157891799,2026-05-31
ABFRL,-0.7618320601327496,2026-05-31
